Raumordnungsregion,N,Extraversion,Verträglichkeit,Neurotizismus,Offenheit,Gewissenhaftigkeit
Oberfranken-Ost,327,"               3,28 ","               3,40 ","               3,08 ","               3,68 ","               3,48 "
Oberfranken-West,472,"               3,42 ","               3,46 ","               3,10 ","               3,73 ","               3,46 "
Oberland,219,"               3,50 ","               3,53 ","               2,86 ","               3,69 ","               3,55 "
Oberlausitz-Niederschlesien,411,"               3,39 ","               3,59 ","               2,95 ","               3,64 ","               3,67 "
Oberpfalz-Nord,211,"               3,32 ","               3,48 ","               3,09 ","               3,69 ","               3,46 "
Oderland-Spree,215,"               3,34 ","               3,46 ","               3,02 ","               3,71 ","               3,63 "
Oldenburg,480,"               3,43 ","               3,47 ","               3,00 ","               3,72 ","               3,57 "
Osnabrück,755,"               3,43 ","               3,49 ","               3,01 ","               3,67 ","               3,53 "
Ost-Friesland,313,"               3,34 ","               3,38 ","               3,01 ","               3,72 ","               3,54 "
Osthessen,208,"               3,48 ","               3,41 ","               3,04 ","               3,70 ","               3,57 "
Ostthüringen,831,"               3,39 ","               3,42 ","               3,06 ","               3,75 ","               3,45 "
Ostwürttemberg,319,"               3,45 ","               3,53 ","               2,92 ","               3,76 ","               3,56 "
Paderborn,391,"               3,47 ","               3,42 ","               3,08 ","               3,74 ","               3,47 "
Prignitz-Oberhavel,198,"               3,35 ","               3,38 ","               3,02 ","               3,53 ","               3,68 "
Regensburg,533,"               3,45 ","               3,48 ","               2,97 ","               3,76 ","               3,52 "
Rheinhessen-Nahe,855,"               3,40 ","               3,50 ","               2,99 ","               3,80 ","               3,48 "
Rhein-Main,2930,"               3,45 ","               3,48 ","               2,93 ","               3,77 ","               3,57 "
Rheinpfalz,721,"               3,42 ","               3,45 ","               3,02 ","               3,69 ","               3,60 "
Saar,897,"               3,36 ","               3,43 ","               3,07 ","               3,77 ","               3,49 "
Schleswig-Holstein Mitte,703,"               3,37 ","               3,41 ","               3,07 ","               3,78 ","               3,44 "
Schleswig-Holstein Nord,242,"               3,27 ","               3,46 ","               2,99 ","               3,63 ","               3,62 "
Schleswig-Holstein Ost,290,"               3,28 ","               3,42 ","               3,07 ","               3,79 ","               3,52 "
Schleswig-Holstein Süd-West,138,"               3,15 ","               3,48 ","               3,13 ","               3,69 ","               3,47 "
Schwarzwald-Baar-Heuberg,285,"               3,39 ","               3,50 ","               2,99 ","               3,70 ","               3,61 "
Südheide,166,"               3,22 ","               3,32 ","               3,13 ","               3,58 ","               3,50 "
Südlicher Oberrhein,925,"               3,45 ","               3,53 ","               3,00 ","               3,81 ","               3,56 "
Südostoberbayern,423,"               3,38 ","               3,50 ","               3,00 ","               3,75 ","               3,59 "
Südsachsen,1050,"               3,40 ","               3,43 ","               3,00 ","               3,68 ","               3,55 "
Südthüringen,264,"               3,30 ","               3,46 ","               3,15 ","               3,75 ","               3,48 "
Siegen,327,"               3,44 ","               3,45 ","               3,01 ","               3,71 ","               3,57 "
Starkenburg,1023,"               3,45 ","               3,48 ","               2,99 ","               3,75 ","               3,55 "
Stuttgart,2579,"               3,46 ","               3,50 ","               2,91 ","               3,75 ","               3,59 "
Trier,520,"               3,39 ","               3,43 ","               3,00 ","               3,79 ","               3,45 "
Uckermark-Barnim,139,"               3,29 ","               3,49 ","               3,16 ","               3,61 ","               3,55 "
Unterer Neckar,1381,"               3,43 ","               3,48 ","               3,01 ","               3,76 ","               3,53 "
Vorpommern,326,"               3,25 ","               3,39 ","               3,06 ","               3,72 ","               3,48 "
Westmecklenburg,260,"               3,32 ","               3,43 ","               3,00 ","               3,74 ","               3,56 "
Westmittelfranken,195,"               3,41 ","               3,46 ","               2,97 ","               3,70 ","               3,50 "
Westpfalz,402,"               3,46 ","               3,39 ","               2,97 ","               3,68 ","               3,58 "
Westsachsen,1235,"               3,37 ","               3,46 ","               3,08 ","               3,83 ","               3,43 "
Würzburg,579,"               3,35 ","               3,51 ","               3,02 ","               3,74 ","               3,55 "
